language,developer_count,median_salary,mean_salary,mean_vs_global_pct
Ruby,1550,102961,114831,29.5
Erlang,314,100000,108905,22.8
Perl,806,99886,112073,26.4
Elixir,615,99194,109543,23.5
Scala,600,96524,114361,28.9
Swift,1198,92000,104009,17.3
Groovy,1171,90233,101916,14.9
Lisp,459,90000,107780,21.5
Go,3783,89815,105716,19.2
Bash/Shell (all shells),11104,83531,97342,9.8
Rust,3117,83000,101345,14.3
Zig,399,81210,96562,8.9
PowerShell,5334,80992,89809,1.3
Kotlin,2428,80152,93572,5.5
F#,262,80127,91521,3.2
TypeScript,10336,79648,92141,3.9
C#,6397,78616,89654,1.1
Gleam,209,77730,90917,2.5
Python,12730,76828,92689,4.5
SQL,13546,76518,90007,1.5
JavaScript,14873,75410,88540,-0.2
OCaml,199,75410,99022,11.6
Lua,1857,75320,92640,4.5
Java,6283,75109,89963,1.4
C++,4605,74249,90234,1.7
HTML/CSS,13782,74000,86575,-2.4
Fortran,271,73516,87466,-1.4
C,4095,72958,88707,0.0
VBA,908,71814,85025,-4.1
MicroPython,408,70705,87409,-1.4
R,1011,70000,86542,-2.4
Assembly,1187,69609,86517,-2.5
GDScript,622,68036,84956,-4.2
Delphi,471,67655,73985,-16.6
Visual Basic (.Net),966,65462,74567,-15.9
PHP,4097,60000,72099,-18.7
MATLAB,700,58007,75035,-15.4
COBOL,182,58007,75772,-14.6
Dart,1201,50000,70558,-20.4
Prolog,172,49886,80150,-9.6
Ada,216,44245,65346,-26.3
