collected_date,source,skill,category,repo,stars,forks,language,pushed_at
2026-06-16,GitHub,Python,programming_language,public-apis/public-apis,441987,48433,Python,2026-06-13
2026-06-16,GitHub,Python,programming_language,EbookFoundation/free-programming-books,390346,66438,Python,2026-06-13
2026-06-16,GitHub,Python,programming_language,donnemartin/system-design-primer,353388,56748,Python,2026-03-20
2026-06-16,GitHub,Python,programming_language,vinta/awesome-python,303211,28101,Python,2026-06-12
2026-06-16,GitHub,Python,programming_language,TheAlgorithms/Python,221992,50764,Python,2026-06-01
2026-06-16,GitHub,Python,programming_language,NousResearch/hermes-agent,195060,34228,Python,2026-06-16
2026-06-16,GitHub,Python,programming_language,Significant-Gravitas/AutoGPT,184973,46138,Python,2026-06-16
2026-06-16,GitHub,Python,programming_language,yt-dlp/yt-dlp,170963,14413,Python,2026-06-16
2026-06-16,GitHub,Python,programming_language,AUTOMATIC1111/stable-diffusion-webui,163743,30370,Python,2026-03-02
2026-06-16,GitHub,Python,programming_language,huggingface/transformers,161631,33518,Python,2026-06-16
2026-06-16,GitHub,Python,programming_language,521xueweihan/HelloGitHub,161595,12181,Python,2026-05-29
2026-06-16,GitHub,Python,programming_language,microsoft/markitdown,154493,10686,Python,2026-05-26
2026-06-16,GitHub,Python,programming_language,anthropics/skills,151514,17868,Python,2026-06-09
2026-06-16,GitHub,Python,programming_language,langflow-ai/langflow,149737,9278,Python,2026-06-16
2026-06-16,GitHub,Python,programming_language,ytdl-org/youtube-dl,140516,10675,Python,2026-02-19
2026-06-16,GitHub,Python,programming_language,langchain-ai/langchain,139460,23114,Python,2026-06-16
2026-06-16,GitHub,Python,programming_language,anthropics/claude-code,132731,21476,Python,2026-06-15
2026-06-16,GitHub,Python,programming_language,Comfy-Org/ComfyUI,117227,13708,Python,2026-06-16
2026-06-16,GitHub,Python,programming_language,Shubhamsaboo/awesome-llm-apps,114726,17028,Python,2026-06-15
2026-06-16,GitHub,Python,programming_language,github/spec-kit,112541,9936,Python,2026-06-16
2026-06-16,GitHub,Python,programming_language,deepseek-ai/DeepSeek-V3,103754,16735,Python,2025-08-28
