language,worked,desired_next_year,net_change,growth_pct,desired_market_pct,signal
Python,18410,12419,-5991,-32.5,25.2,Declining
SQL,18633,11257,-7376,-39.6,22.9,Declining
HTML/CSS,19698,10661,-9037,-45.9,21.7,Declining
JavaScript,21005,10581,-10424,-49.6,21.5,Declining
TypeScript,13859,10099,-3760,-27.1,20.5,Declining
Rust,4724,9262,4538,96.1,18.8,Emerging
Bash/Shell (all shells),15503,8662,-6841,-44.1,17.6,Declining
Go,5219,7414,2195,42.1,15.1,Emerging
C#,8852,6117,-2735,-30.9,12.4,Declining
C++,7485,5243,-2242,-30.0,10.7,Declining
Java,9358,4981,-4377,-46.8,10.1,Declining
C,6987,4548,-2439,-34.9,9.2,Declining
Kotlin,3420,3786,366,10.7,7.7,Stable
PowerShell,7371,3014,-4357,-59.1,6.1,Declining
PHP,5994,2873,-3121,-52.1,5.8,Declining
Zig,680,2415,1735,255.1,4.9,Emerging
Lua,2910,2389,-521,-17.9,4.9,Stable
Assembly,2246,2154,-92,-4.1,4.4,Stable
Swift,1719,2033,314,18.3,4.1,Stable
Elixir,847,1818,971,114.6,3.7,Emerging
Dart,1885,1653,-232,-12.3,3.4,Stable
Ruby,2046,1587,-459,-22.4,3.2,Declining
R,1569,1308,-261,-16.6,2.7,Stable
Lisp,753,1136,383,50.9,2.3,Emerging
GDScript,1062,1072,10,0.9,2.2,Stable
Gleam,354,972,618,174.6,2.0,Emerging
Erlang,465,956,491,105.6,1.9,Emerging
Scala,843,924,81,9.6,1.9,Stable
F#,406,908,502,123.6,1.8,Emerging
OCaml,367,864,497,135.4,1.8,Emerging
MicroPython,723,831,108,14.9,1.7,Stable
Perl,1215,701,-514,-42.3,1.4,Declining
MATLAB,1231,617,-614,-49.9,1.3,Declining
Groovy,1535,606,-929,-60.5,1.2,Declining
Visual Basic (.Net),1409,577,-832,-59.0,1.2,Declining
Mojo,145,572,427,294.5,1.2,Emerging
Delphi,796,563,-233,-29.3,1.1,Declining
Ada,431,511,80,18.6,1.0,Stable
VBA,1334,481,-853,-63.9,1.0,Declining
Prolog,338,414,76,22.5,0.8,Emerging
COBOL,308,403,95,30.8,0.8,Emerging
Fortran,449,397,-52,-11.6,0.8,Stable
